popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
    100 ,       20 ,        0.05 ,        100 ,2523.421140938502  ,2975.6             ,100_20_0.05_100
    100 ,       20 ,        0.05 ,        200 , 963.3597717434312 ,5636.4             ,100_20_0.05_200
    100 ,       20 ,        0.05 ,        500 ,1117.9419824711515 ,4646.8             ,100_20_0.05_500
    100 ,       20 ,        0.1  ,        100 ,1337.2507823929607 ,6585.2             ,100_20_0.1_100
    100 ,       20 ,        0.1  ,        200 ,1241.6304847706094 ,4776.599999999999  ,100_20_0.1_200
    100 ,       20 ,        0.1  ,        500 ,2290.9531571071666 ,2921.4             ,100_20_0.1_500
    100 ,       30 ,        0.01 ,        100 ,1225.2038213247927 ,4518.8             ,100_30_0.01_100
    100 ,       30 ,        0.01 ,        200 ,1025.7358069249567 ,5472.4             ,100_30_0.01_200
    100 ,       30 ,        0.01 ,        500 , 976.810398072409  ,6801.4             ,100_30_0.01_500
    100 ,       30 ,        0.02 ,        100 ,1119.0629782170226 ,6162.2             ,100_30_0.02_100
    100 ,       30 ,        0.02 ,        200 ,1062.9878106434228 ,4473.8             ,100_30_0.02_200
    100 ,       30 ,        0.02 ,        500 , 971.7601778700547 ,5707.8             ,100_30_0.02_500
    100 ,       30 ,        0.05 ,        100 ,2369.8489379715597 ,3128.2             ,100_30_0.05_100
    100 ,       30 ,        0.05 ,        200 ,1183.6597032489697 ,4326.4             ,100_30_0.05_200
    100 ,       30 ,        0.05 ,        500 ,2123.1479161751013 ,2828.6             ,100_30_0.05_500
    100 ,       30 ,        0.1  ,        100 ,1056.1882875335002 ,6107.4             ,100_30_0.1_100
    100 ,       30 ,        0.1  ,        200 ,1206.8892692511602 ,5955.4             ,100_30_0.1_200
    100 ,       30 ,        0.1  ,        500 ,2635.6643617625427 ,3034.3999999999996 ,100_30_0.1_500
    200 ,       10 ,        0.01 ,        100 ,1366.4593481833708 ,3387.4             ,200_10_0.01_100
    200 ,       10 ,        0.01 ,        200 ,2025.2722684252815 ,2890.8             ,200_10_0.01_200
    200 ,       10 ,        0.01 ,        500 ,1293.8537462535294 ,3642.0             ,200_10_0.01_500
    200 ,       10 ,        0.02 ,        100 ,1305.650070692134  ,3389.3999999999996 ,200_10_0.02_100
    200 ,       10 ,        0.02 ,        200 ,2187.6165763354124 ,2902.0000000000005 ,200_10_0.02_200
    200 ,       10 ,        0.02 ,        500 ,2609.616520562813  ,2731.2             ,200_10_0.02_500
    200 ,       10 ,        0.05 ,        100 ,2027.7129509884905 ,2826.0             ,200_10_0.05_100
    200 ,       10 ,        0.05 ,        200 ,1973.0470325695833 ,2961.4             ,200_10_0.05_200
    200 ,       10 ,        0.05 ,        500 ,2073.986893896589  ,2749.6             ,200_10_0.05_500
    200 ,       10 ,        0.1  ,        100 ,1233.221205935443  ,5370.799999999999  ,200_10_0.1_100
    200 ,       10 ,        0.1  ,        200 ,1596.5334259994695 ,3246.4             ,200_10_0.1_200
    200 ,       10 ,        0.1  ,        500 ,1037.1860985406024 ,5935.0             ,200_10_0.1_500
    200 ,       20 ,        0.01 ,        100 ,1351.9257057563777 ,3734.0             ,200_20_0.01_100
    200 ,       20 ,        0.01 ,        200 ,2434.8178432849245 ,2807.6             ,200_20_0.01_200
    200 ,       20 ,        0.01 ,        500 ,2714.262848948294  ,2672.4             ,200_20_0.01_500
    200 ,       20 ,        0.02 ,        100 ,2741.487400422628  ,2823.4             ,200_20_0.02_100
    200 ,       20 ,        0.02 ,        200 ,1015.0337029768995 ,6227.599999999999  ,200_20_0.02_200
    200 ,       20 ,        0.02 ,        500 , 900.5695305253005 ,6278.8             ,200_20_0.02_500
    200 ,       20 ,        0.05 ,        100 ,1118.6596056721003 ,5557.2             ,200_20_0.05_100
    200 ,       20 ,        0.05 ,        200 ,1054.2409372600223 ,5461.4             ,200_20_0.05_200
    200 ,       20 ,        0.05 ,        500 ,1289.8783659871956 ,3621.9999999999995 ,200_20_0.05_500
    200 ,       20 ,        0.1  ,        100 ,1263.2860947561453 ,6501.4             ,200_20_0.1_100
    200 ,       20 ,        0.1  ,        200 ,1116.8047607750548 ,4640.8             ,200_20_0.1_200
    200 ,       20 ,        0.1  ,        500 ,1529.9408939740129 ,3154.2000000000003 ,200_20_0.1_500
    200 ,       30 ,        0.01 ,        100 ,1973.0710008764283 ,2977.4             ,200_30_0.01_100
    200 ,       30 ,        0.01 ,        200 ,2946.083424470105  ,2793.4             ,200_30_0.01_200
